01. Ano,02. Nome Região (Portugal),03. Âmbito Geográfico,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
2009,Barrancos,Município,Total,,,,,90.5
2009,Barreiro,Município,Homens,,,,,1953.6
2009,Barreiro,Município,Mulheres,,,,,2033.1
2009,Barreiro,Município,Total,,,,,3986.7
2009,Batalha,Município,Homens,,,,,204.3
2009,Batalha,Município,Mulheres,,,,,290.7
2009,Batalha,Município,Total,,,,,494.9
2009,Beja,Município,Homens,,,,,620.2
2009,Beja,Município,Mulheres,,,,,600.6
2009,Beja,Município,Total,,,,,1220.8
2009,Belmonte,Município,Homens,,,,,154.0
2009,Belmonte,Município,Mulheres,,,,,202.1
2009,Belmonte,Município,Total,,,,,356.1
2009,Benavente,Município,Homens,,,,,629.4
2009,Benavente,Município,Mulheres,,,,,698.6
2009,Benavente,Município,Total,,,,,1328.0
2009,Bombarral,Município,Homens,,,,,214.5
2009,Bombarral,Município,Mulheres,,,,,272.3
2009,Bombarral,Município,Total,,,,,486.8
2009,Borba,Município,Homens,,,,,137.6
2009,Borba,Município,Mulheres,,,,,157.8
2009,Borba,Município,Total,,,,,295.3
2009,Boticas,Município,Homens,,,,,102.0
2009,Boticas,Município,Mulheres,,,,,103.0
2009,Boticas,Município,Total,,,,,205.0
2009,Braga,Município,Homens,,,,,3965.0
2009,Braga,Município,Mulheres,,,,,5605.1
2009,Braga,Município,Total,,,,,9570.1
2009,Bragança,Município,Homens,,,,,694.3
2009,Bragança,Município,Mulheres,,,,,824.9
2009,Bragança,Município,Total,,,,,1519.3
2009,Cabeceiras de Basto,Município,Homens,,,,,408.0
2009,Cabeceiras de Basto,Município,Mulheres,,,,,712.1
2009,Cabeceiras de Basto,Município,Total,,,,,1120.1
2009,Cadaval,Município,Homens,,,,,210.7
2009,Cadaval,Município,Mulheres,,,,,297.7
2009,Cadaval,Município,Total,,,,,508.3
2009,Caldas da Rainha,Município,Homens,,,,,1124.7
2009,Caldas da Rainha,Município,Mulheres,,,,,1354.4
2009,Caldas da Rainha,Município,Total,,,,,2479.1
2009,Calheta [R.A.A.],Município,Homens,,,,x,
2009,Calheta [R.A.A.],Município,Mulheres,,,,x,
2009,Calheta [R.A.A.],Município,Total,,,,x,
2009,Calheta [R.A.M.],Município,Homens,,,,x,
2009,Calheta [R.A.M.],Município,Mulheres,,,,x,
2009,Calheta [R.A.M.],Município,Total,,,,x,
2009,Câmara de Lobos,Município,Homens,,,,x,
2009,Câmara de Lobos,Município,Mulheres,,,,x,
2009,Câmara de Lobos,Município,Total,,,,x,
2009,Caminha,Município,Homens,,,,,276.2
2009,Caminha,Município,Mulheres,,,,,308.2
2009,Caminha,Município,Total,,,,,584.3
2009,Campo Maior,Município,Homens,,,,,186.4
2009,Campo Maior,Município,Mulheres,,,,,196.8
2009,Campo Maior,Município,Total,,,,,383.2
2009,Cantanhede,Município,Homens,,,,,531.4
2009,Cantanhede,Município,Mulheres,,,,,679.5
2009,Cantanhede,Município,Total,,,,,1210.9
2009,Carrazeda de Ansiães,Município,Homens,,,,,95.9
2009,Carrazeda de Ansiães,Município,Mulheres,,,,,140.9
2009,Carrazeda de Ansiães,Município,Total,,,,,236.8
2009,Carregal do Sal,Município,Homens,,,,,210.6
2009,Carregal do Sal,Município,Mulheres,,,,,175.4
2009,Carregal do Sal,Município,Total,,,,,386.0
2009,Cartaxo,Município,Homens,,,,,503.8
2009,Cartaxo,Município,Mulheres,,,,,435.9
2009,Cartaxo,Município,Total,,,,,939.8
2009,Cascais,Município,Homens,,,,,3611.3
2009,Cascais,Município,Mulheres,,,,,3852.8
2009,Cascais,Município,Total,,,,,7464.1
2009,Castanheira de Pêra,Município,Homens,,,,,78.9
2009,Castanheira de Pêra,Município,Mulheres,,,,,108.1
2009,Castanheira de Pêra,Município,Total,,,,,187.0
2009,Castelo Branco,Município,Homens,,,,,1262.6
2009,Castelo Branco,Município,Mulheres,,,,,1392.3
2009,Castelo Branco,Município,Total,,,,,2654.8
2009,Castelo de Paiva,Município,Homens,,,,,426.3
2009,Castelo de Paiva,Município,Mulheres,,,,,897.3
2009,Castelo de Paiva,Município,Total,,,,,1323.5
2009,Castelo de Vide,Município,Homens,,,,,51.9
2009,Castelo de Vide,Município,Mulheres,,,,,60.9
2009,Castelo de Vide,Município,Total,,,,,112.8
2009,Castro Daire,Município,Homens,,,,,209.8
2009,Castro Daire,Município,Mulheres,,,,,288.3
2009,Castro Daire,Município,Total,,,,,498.1
2009,Castro Marim,Município,Homens,,,,,109.7
2009,Castro Marim,Município,Mulheres,,,,,111.1
2009,Castro Marim,Município,Total,,,,,220.8
2009,Castro Verde,Município,Homens,,,,,112.3
2009,Castro Verde,Município,Mulheres,,,,,189.8
2009,Castro Verde,Município,Total,,,,,302.1
2009,Celorico da Beira,Município,Homens,,,,,124.8
2009,Celorico da Beira,Município,Mulheres,,,,,139.7
2009,Celorico da Beira,Município,Total,,,,,264.4
2009,Celorico de Basto,Município,Homens,,,,,514.0
2009,Celorico de Basto,Município,Mulheres,,,,,835.8
2009,Celorico de Basto,Município,Total,,,,,1349.8
2009,Chamusca,Município,Homens,,,,,214.1
2009,Chamusca,Município,Mulheres,,,,,241.1
2009,Chamusca,Município,Total,,,,,455.2
2009,Chaves,Município,Homens,,,,,990.0
2009,Chaves,Município,Mulheres,,,,,1052.3
2009,Chaves,Município,Total,,,,,2042.3
2009,Cinfães,Município,Homens,,,,,569.5
2009,Cinfães,Município,Mulheres,,,,,708.8
2009,Cinfães,Município,Total,,,,,1278.3
2009,Coimbra,Município,Homens,,,,,2837.2
2009,Coimbra,Município,Mulheres,,,,,2866.3
2009,Coimbra,Município,Total,,,,,5703.4
2009,Condeixa-a-Nova,Município,Homens,,,,,211.4
2009,Condeixa-a-Nova,Município,Mulheres,,,,,251.6
2009,Condeixa-a-Nova,Município,Total,,,,,463.0
2009,Constância,Município,Homens,,,,,76.4
2009,Constância,Município,Mulheres,,,,,92.3
2009,Constância,Município,Total,,,,,168.7
2009,Coruche,Município,Homens,,,,,492.3
2009,Coruche,Município,Mulheres,,,,,667.9
2009,Coruche,Município,Total,,,,,1160.3
2009,Corvo,Município,Homens,,,,x,
2009,Corvo,Município,Mulheres,,,,x,
2009,Corvo,Município,Total,,,,x,
2009,Covilhã,Município,Homens,,,,,1536.1
2009,Covilhã,Município,Mulheres,,,,,1859.1
2009,Covilhã,Município,Total,,,,,3395.2
2009,Crato,Município,Homens,,,,,65.5
2009,Crato,Município,Mulheres,,,,,80.5
2009,Crato,Município,Total,,,,,146.0
2009,Cuba,Município,Homens,,,,,86.5
2009,Cuba,Município,Mulheres,,,,,107.3
2009,Cuba,Município,Total,,,,,193.8
2009,Elvas,Município,Homens,,,,,559.4
2009,Elvas,Município,Mulheres,,,,,646.0
2009,Elvas,Município,Total,,,,,1205.4
2009,Entroncamento,Município,Homens,,,,,264.6
2009,Entroncamento,Município,Mulheres,,,,,406.3
2009,Entroncamento,Município,Total,,,,,670.8
2009,Espinho,Município,Homens,,,,,1328.5
2009,Espinho,Município,Mulheres,,,,,1731.8
2009,Espinho,Município,Total,,,,,3060.3
2009,Esposende,Município,Homens,,,,,478.8
2009,Esposende,Município,Mulheres,,,,,710.6
2009,Esposende,Município,Total,,,,,1189.3
2009,Estarreja,Município,Homens,,,,,540.6
2009,Estarreja,Município,Mulheres,,,,,774.0
2009,Estarreja,Município,Total,,,,,1314.6
2009,Estremoz,Município,Homens,,,,,220.9
2009,Estremoz,Município,Mulheres,,,,,250.3
2009,Estremoz,Município,Total,,,,,471.2
2009,Évora,Município,Homens,,,,,1319.2
2009,Évora,Município,Mulheres,,,,,1220.3
2009,Évora,Município,Total,,,,,2539.5
2009,Fafe,Município,Homens,,,,,1561.8
2009,Fafe,Município,Mulheres,,,,,2089.8
2009,Fafe,Município,Total,,,,,3651.6
2009,Faro,Município,Homens,,,,,1354.6
2009,Faro,Município,Mulheres,,,,,1141.3
2009,Faro,Município,Total,,,,,2495.8
2009,Felgueiras,Município,Homens,,,,,1479.4
2009,Felgueiras,Município,Mulheres,,,,,2193.3
2009,Felgueiras,Município,Total,,,,,3672.7
2009,Ferreira do Alentejo,Município,Homens,,,,,139.2
2009,Ferreira do Alentejo,Município,Mulheres,,,,,207.8
2009,Ferreira do Alentejo,Município,Total,,,,,346.9
2009,Ferreira do Zêzere,Município,Homens,,,,,91.2
2009,Ferreira do Zêzere,Município,Mulheres,,,,,126.8
2009,Ferreira do Zêzere,Município,Total,,,,,217.9
2009,Figueira da Foz,Município,Homens,,,,,1403.3
2009,Figueira da Foz,Município,Mulheres,,,,,1707.9
2009,Figueira da Foz,Município,Total,,,,,3111.2
2009,Figueira de Castelo Rodrigo,Município,Homens,,,,,86.7
2009,Figueira de Castelo Rodrigo,Município,Mulheres,,,,,94.8
2009,Figueira de Castelo Rodrigo,Município,Total,,,,,181.4
2009,Figueiró dos Vinhos,Município,Homens,,,,,112.5
2009,Figueiró dos Vinhos,Município,Mulheres,,,,,212.8
2009,Figueiró dos Vinhos,Município,Total,,,,,325.3
2009,Fornos de Algodres,Município,Homens,,,,,83.8
2009,Fornos de Algodres,Município,Mulheres,,,,,153.3
2009,Fornos de Algodres,Município,Total,,,,,237.1
2009,Freixo de Espada à Cinta,Município,Homens,,,,,58.9
2009,Freixo de Espada à Cinta,Município,Mulheres,,,,,149.2
2009,Freixo de Espada à Cinta,Município,Total,,,,,208.1
2009,Fronteira,Município,Homens,,,,,66.9
2009,Fronteira,Município,Mulheres,,,,,113.7
2009,Fronteira,Município,Total,,,,,180.6
2009,Funchal,Município,Homens,,,,x,
2009,Funchal,Município,Mulheres,,,,x,
2009,Funchal,Município,Total,,,,x,
2009,Fundão,Município,Homens,,,,,649.1
2009,Fundão,Município,Mulheres,,,,,806.4
2009,Fundão,Município,Total,,,,,1455.5
2009,Gavião,Município,Homens,,,,,73.0
2009,Gavião,Município,Mulheres,,,,,96.4
2009,Gavião,Município,Total,,,,,169.4
2009,Góis,Município,Homens,,,,,53.1
2009,Góis,Município,Mulheres,,,,,84.9
2009,Góis,Município,Total,,,,,138.0
2009,Golegã,Município,Homens,,,,,91.2
2009,Golegã,Município,Mulheres,,,,,102.2
2009,Golegã,Município,Total,,,,,193.3
2009,Gondomar,Município,Homens,,,,,5135.0
2009,Gondomar,Município,Mulheres,,,,,5776.5
2009,Gondomar,Município,Total,,,,,10911.5
2009,Gouveia,Município,Homens,,,,,364.3
2009,Gouveia,Município,Mulheres,,,,,465.5
2009,Gouveia,Município,Total,,,,,829.8
2009,Grândola,Município,Homens,,,,,157.5
2009,Grândola,Município,Mulheres,,,,,178.5
2009,Grândola,Município,Total,,,,,336.0
2009,Guarda,Município,Homens,,,,,804.3
2009,Guarda,Município,Mulheres,,,,,999.8
2009,Guarda,Município,Total,,,,,1804.1
2009,Guimarães,Município,Homens,,,,,5678.8
2009,Guimarães,Município,Mulheres,,,,,6801.1
2009,Guimarães,Município,Total,,,,,12479.8
2009,Horta,Município,Homens,,,,x,
2009,Horta,Município,Mulheres,,,,x,
2009,Horta,Município,Total,,,,x,
2009,Idanha-a-Nova,Município,Homens,,,,,129.4
2009,Idanha-a-Nova,Município,Mulheres,,,,,186.6
2009,Idanha-a-Nova,Município,Total,,,,,316.0
2009,Ílhavo,Município,Homens,,,,,840.4
2009,Ílhavo,Município,Mulheres,,,,,950.3
2009,Ílhavo,Município,Total,,,,,1790.7
2009,Lagoa,Município,Homens,,,,,528.8
2009,Lagoa,Município,Mulheres,,,,,595.3
2009,Lagoa,Município,Total,,,,,1124.1
2009,Lagoa [R.A.A.],Município,Homens,,,,x,
2009,Lagoa [R.A.A.],Município,Mulheres,,,,x,
2009,Lagoa [R.A.A.],Município,Total,,,,x,
2009,Lagos,Município,Homens,,,,,671.5
2009,Lagos,Município,Mulheres,,,,,737.8
2009,Lagos,Município,Total,,,,,1409.3
2009,Lajes das Flores,Município,Homens,,,,x,
2009,Lajes das Flores,Município,Mulheres,,,,x,
2009,Lajes das Flores,Município,Total,,,,x,
2009,Lajes do Pico,Município,Homens,,,,x,
2009,Lajes do Pico,Município,Mulheres,,,,x,
2009,Lajes do Pico,Município,Total,,,,x,
2009,Lamego,Município,Homens,,,,,628.1
2009,Lamego,Município,Mulheres,,,,,868.0
2009,Lamego,Município,Total,,,,,1496.1
2009,Leiria,Município,Homens,,,,,1849.8
2009,Leiria,Município,Mulheres,,,,,2372.9
2009,Leiria,Município,Total,,,,,4222.8
2009,Lisboa,Município,Homens,,,,,11127.5
2009,Lisboa,Município,Mulheres,,,,,9761.3
2009,Lisboa,Município,Total,,,,,20888.8
2009,Loulé,Município,Homens,,,,,1335.7
2009,Loulé,Município,Mulheres,,,,,1437.7
2009,Loulé,Município,Total,,,,,2773.3
2009,Loures,Município,Homens,,,,,3922.8
2009,Loures,Município,Mulheres,,,,,3386.7
2009,Loures,Município,Total,,,,,7309.5
2009,Lourinhã,Município,Homens,,,,,426.3
2009,Lourinhã,Município,Mulheres,,,,,529.3
2009,Lourinhã,Município,Total,,,,,955.5
2009,Lousã,Município,Homens,,,,,313.7
2009,Lousã,Município,Mulheres,,,,,442.2
2009,Lousã,Município,Total,,,,,755.8
2009,Lousada,Município,Homens,,,,,1018.1
2009,Lousada,Município,Mulheres,,,,,1469.3
2009,Lousada,Município,Total,,,,,2487.4
2009,Mação,Município,Homens,,,,,70.9
2009,Mação,Município,Mulheres,,,,,69.3
2009,Mação,Município,Total,,,,,140.3
2009,Macedo de Cavaleiros,Município,Homens,,,,,308.6
2009,Macedo de Cavaleiros,Município,Mulheres,,,,,393.8
