Ano,Regiao,Desemprego,Salario_Medio,Populacao,Rendimento_per_capita
2009,Murtosa,414.4,722.6,10517.0,0.06870780640867168
2009,Nazaré,764.7,769.6,7275.0,0.10578694158075602
2009,Nazaré,764.7,769.6,7906.0,0.09734378952694156
2009,Nazaré,764.7,769.6,15181.0,0.05069494763190831
2009,Nelas,812.7,944.2,6727.0,0.14035974431395867
2009,Nelas,812.7,944.2,7378.0,0.1279750609921388
2009,Nelas,812.7,944.2,14105.0,0.06694080113434953
2009,Nisa,225.3,763.1,3605.0,0.21167822468793343
2009,Nisa,225.3,763.1,4006.0,0.19048926610084874
2009,Nisa,225.3,763.1,7611.0,0.10026277755879648
2009,Óbidos,446.9,901.6,5695.0,0.15831431079894645
2009,Óbidos,446.9,901.6,5985.0,0.15064327485380116
2009,Óbidos,446.9,901.6,11680.0,0.07719178082191781
2009,Odemira,1123.5,829.4,13238.0,0.06265296872639371
2009,Odemira,1123.5,829.4,12913.0,0.06422984589173701
2009,Odemira,1123.5,829.4,26151.0,0.031715804366945814
2009,Oleiros,91.3,669.5,2789.0,0.24005019720329868
2009,Oleiros,91.3,669.5,3045.0,0.21986863711001642
2009,Oleiros,91.3,669.5,5834.0,0.11475831333561878
2009,Olhão,2138.1,838.3,21976.0,0.03814615944666909
2009,Olhão,2138.1,838.3,22946.0,0.03653360062756036
2009,Olhão,2138.1,838.3,44922.0,0.018661235029606874
2009,Oliveira de Azeméis,2753.4,884.6,33629.0,0.026304677510482027
2009,Oliveira de Azeméis,2753.4,884.6,35521.0,0.02490357816502914
2009,Oliveira de Frades,286.1,1019.1,4915.0,0.20734486266531027
2009,Oliveira de Frades,286.1,1019.1,5414.0,0.18823420760990026
2009,Oliveira de Frades,286.1,1019.1,10329.0,0.09866395585245426
2009,Oliveira do Bairro,803.4,899.1,10858.0,0.0828053048443544
2009,Oliveira do Bairro,803.4,899.1,12013.0,0.07484391908765504
2009,Oliveira do Bairro,803.4,899.1,22871.0,0.03931179222596301
